id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;air;air0;air_set;water;water0;water_set;balance
0x000001C86E3899A0;coolant cycle closer;out1;condenser;in1;[];[];nan;False;False;coolant cycle closer:out1_condenser:in1;31.8925047231597;kg / s;False;31.8925047231597;False;nan;nan;nan;False;68.9193684528463;bar;False;68.9193684528463;False;nan;nan;nan;False;1837.0746127498048;kJ / kg;False;1837.0746127498048;False;nan;nan;nan;False;159.7039315997369;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.782747559047052;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x000001C86E64BAF0;consumer back flow;out1;district heating pump;in1;[];[];nan;False;False;consumer back flow:out1_district heating pump:in1;178.7357191233345;kg / s;False;178.7357191233345;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.003309940719;kJ / kg;False;252.003309940719;False;nan;nan;nan;False;59.99999999999221;C;False;nan;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.18171796774227075;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x000001C86E1E8820;district heating pump;out1;condenser;in2;[];[];nan;False;False;district heating pump:out1_condenser:in2;178.7357191233345;kg / s;False;178.7357191233345;False;nan;nan;nan;False;10.20304050607081;bar;False;10.20304050607081;False;nan;nan;nan;False;252.02911336598848;kJ / kg;False;252.02911336598848;False;nan;nan;nan;False;60.00209328490814;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.1817165289462904;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86E1E8520;condenser;out2;consumer;in1;[];[];nan;False;False;condenser:out2_consumer:in1;178.7357191233345;kg / s;False;178.7357191233345;False;nan;nan;nan;False;10.1010101010101;bar;False;10.1010101010101;False;nan;nan;nan;False;419.8488874623494;kJ / kg;False;419.8488874623494;False;nan;nan;nan;False;100.00000000000063;C;False;nan;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.18642084602985484;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86E1E8FA0;consumer;out1;consumer feed flow;in1;[];[];nan;False;False;consumer:out1_consumer feed flow:in1;178.7357191233345;kg / s;False;178.7357191233345;False;nan;nan;nan;False;10.0;bar;False;10.0;False;0x000001C86E64BAF0;1.0;0.0;True;252.003309940719;kJ / kg;False;252.003309940719;False;0x000001C86E64BAF0;1.0;0.0;True;59.99999999999221;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.18171796774227075;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86E34CB80;condenser;out1;valve;in1;[];[];nan;False;False;condenser:out1_valve:in1;31.8925047231597;kg / s;False;31.8925047231597;False;nan;nan;nan;False;68.23017476831785;bar;False;68.23017476831785;False;nan;nan;nan;False;896.5593328556363;kJ / kg;False;896.5593328556363;False;nan;nan;nan;False;104.47639448783275;C;False;nan;False;nan;nan;nan;False;7.146227378507848e-15;-;False;nan;False;nan;nan;nan;False;0.07187983025783024;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86E370070;valve;out1;drum;in1;[];[];nan;False;False;valve:out1_drum:in1;31.8925047231597;kg / s;False;31.8925047231597;False;nan;nan;nan;False;4.972767684753096;bar;False;4.972767684753096;False;nan;nan;nan;False;896.5593328556363;kJ / kg;False;896.5593328556363;False;nan;nan;nan;False;3.998527167978523;C;False;nan;False;nan;nan;nan;False;0.4267693899556091;-;False;nan;False;nan;nan;nan;False;3.453571825323726;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86E1E8C10;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;drum:out1_evaporator reciculation pump:in1;39.86563090394962;kg / s;False;39.86563090394962;False;nan;nan;nan;False;4.972767684753095;bar;False;4.972767684753095;False;nan;nan;nan;False;364.19367310847434;kJ / kg;False;364.19367310847434;False;nan;nan;nan;False;3.998527167978523;C;False;nan;False;nan;nan;nan;False;-1.7124404767902745e-15;-;False;nan;False;nan;nan;nan;False;0.06296301955392535;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86ED636A0;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;evaporator reciculation pump:out1_evaporator:in2;39.86563090394962;kg / s;False;39.86563090394962;False;0x000001C86E370070;1.25;0.0;True;5.022997661366763;bar;False;5.022997661366763;False;nan;nan;nan;False;364.2035896244705;kJ / kg;False;364.2035896244705;False;nan;nan;nan;False;3.999999999999716;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.06296285323570497;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86ED63040;evaporator;out2;drum;in2;[];[];nan;False;False;evaporator:out2_drum:in2;39.86563090394962;kg / s;False;39.86563090394962;False;nan;nan;nan;False;4.972767684753096;bar;False;4.972767684753096;False;nan;nan;nan;False;936.2464943012818;kJ / kg;False;936.2464943012818;False;nan;nan;nan;False;3.998527167978523;C;False;nan;False;nan;nan;nan;False;0.4585844880355116;-;False;nan;False;nan;nan;nan;False;4.634095031571105;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86ED63670;drum;out2;superheater;in2;[];[];nan;False;False;drum:out2_superheater:in2;31.892504723159696;kg / s;False;31.892504723159696;False;nan;nan;nan;False;4.972767684753096;bar;False;4.972767684753096;False;nan;nan;nan;False;1611.6253593466456;kJ / kg;False;1611.6253593466456;False;nan;nan;nan;False;3.998527167978523;C;False;nan;False;nan;nan;nan;False;0.9999999999999998;-;False;nan;False;nan;nan;nan;False;8.024703837340898;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86E4868B0;ambient air;out1;pump;in1;[];['v'];nan;False;False;ambient air:out1_pump:in1;1960.1165614250945;kg / s;False;1960.1165614250945;False;nan;nan;nan;False;2.0;bar;False;2.0;True;nan;nan;nan;False;50.60163981165002;kJ / kg;False;50.60163981165002;False;nan;nan;nan;False;11.999999999967883;C;False;nan;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.961004823138932;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;0;0;True;1;1;True;False
0x000001C86CF53310;pump;out1;splitter;in1;[];[];nan;False;False;pump:out1_splitter:in1;1960.1165614250945;kg / s;False;1960.1165614250945;False;nan;nan;nan;False;2.0824656393169514;bar;False;2.0824656393169514;False;nan;nan;nan;False;50.61264019156425;kJ / kg;False;50.61264019156425;False;nan;nan;nan;False;12.000720203997162;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.9609973298614825;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86CF53610;splitter;out1;superheater;in1;[];['v'];nan;False;False;splitter:out1_superheater:in1;1853.2262885160021;kg / s;False;1853.2262885160021;False;nan;nan;nan;False;2.0824656393169514;bar;False;2.0824656393169514;False;nan;nan;nan;False;50.61264019156425;kJ / kg;False;50.61264019156425;False;nan;nan;nan;False;12.000720203997162;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.8540590263503394;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86ECF84F0;superheater;out1;evaporator;in1;[];[];nan;False;False;superheater:out1_evaporator:in1;1853.2262885160021;kg / s;False;1853.2262885160021;False;nan;nan;nan;False;2.0408163265306123;bar;False;2.0408163265306123;False;nan;nan;nan;False;50.3250107633903;kJ / kg;False;50.3250107633903;False;nan;nan;nan;False;11.933065137333017;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.8540484005343063;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86ECF89D0;evaporator;out1;sink ambient 1;in1;['T'];[];nan;False;False;evaporator:out1_sink ambient 1:in1;1853.2262885160021;kg / s;False;1853.2262885160021;False;nan;nan;nan;False;2.0;bar;False;2.0;True;nan;nan;nan;False;38.01952414236341;kJ / kg;False;38.01952414236341;False;nan;nan;nan;False;8.999999999971124;C;False;nan;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.8535394879065987;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86CF53F40;superheater;out2;compressor 1;in1;[];[];nan;False;False;superheater:out2_compressor 1:in1;31.892504723159696;kg / s;False;31.892504723159696;False;nan;nan;nan;False;4.923040007905564;bar;False;4.923040007905564;False;nan;nan;nan;False;1628.3390800866703;kJ / kg;False;1628.3390800866703;False;nan;nan;nan;False;10.000720203942024;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;8.352049364925778;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;g;True;1;1;False;0;0;False;0;0;False;False
0x000001C86CFADE80;compressor 1;out1;intercooler;in1;[];[];nan;False;False;compressor 1:out1_intercooler:in1;31.892504723159696;kg / s;False;31.892504723159696;False;nan;nan;nan;False;23.205174563247915;bar;False;23.205174563247915;False;nan;nan;nan;False;1908.4179864257442;kJ / kg;False;1908.4179864257442;False;nan;nan;nan;False;144.8863731578498;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;2.606514174446366;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86CFADA30;intercooler;out1;compressor 2;in1;['Td_bp'];[];nan;False;False;intercooler:out1_compressor 2:in1;31.892504723159696;kg / s;False;31.892504723159696;False;nan;nan;nan;False;22.973122817615437;bar;False;22.973122817615437;False;nan;nan;nan;False;1656.032026546689;kJ / kg;False;1656.032026546689;False;nan;nan;nan;False;59.780651876595016;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1.8427763794973249;m3 / s;False;nan;False;nan;nan;nan;False;5.0;C;False;nan;True;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
0x000001C86CFADAC0;splitter;out2;intercooler;in2;[];[];nan;False;False;splitter:out2_intercooler:in2;106.89027290909235;kg / s;False;106.89027290909235;False;nan;nan;nan;False;2.0824656393169514;bar;False;2.0824656393169514;False;nan;nan;nan;False;50.61264019156425;kJ / kg;False;50.61264019156425;False;nan;nan;nan;False;12.000720203997162;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.10693830351114327;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86E3877C0;intercooler;out2;sink ambient 2;in1;['T'];[];nan;False;False;intercooler:out2_sink ambient 2:in1;106.89027290909235;kg / s;False;106.89027290909235;False;nan;nan;nan;False;2.0408163265306123;bar;False;2.0408163265306123;False;nan;nan;nan;False;125.91622206517061;kJ / kg;False;125.91622206517061;False;nan;nan;nan;False;30.000000000004377;C;False;nan;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.10735239791544947;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x000001C86CFAD2E0;compressor 2;out1;coolant cycle closer;in1;[];[];nan;False;False;compressor 2:out1_coolant cycle closer:in1;31.892504723159696;kg / s;False;31.892504723159696;False;nan;nan;nan;False;68.9193684528463;bar;False;68.9193684528463;False;nan;nan;nan;False;1837.0746127498046;kJ / kg;False;1837.0746127498046;False;nan;nan;nan;False;159.7039315997369;C;False;nan;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.7827475590470518;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
