# Renewables.ninja Weather (Point API) - 54.799, 9.433 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, temperature in ºC, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "54.79861385262823", "lon": "9.432691929548227", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,7.298,0
2019-01-01 01:00,2019-01-01 02:00,7.414,0
2019-01-01 02:00,2019-01-01 03:00,7.526,0
2019-01-01 03:00,2019-01-01 04:00,7.654,0
2019-01-01 04:00,2019-01-01 05:00,7.665,0
2019-01-01 05:00,2019-01-01 06:00,7.081,0
2019-01-01 06:00,2019-01-01 07:00,6.319,0
2019-01-01 07:00,2019-01-01 08:00,6.093,0.243
2019-01-01 08:00,2019-01-01 09:00,6.062,23.406
2019-01-01 09:00,2019-01-01 10:00,6.226,76.446
2019-01-01 10:00,2019-01-01 11:00,6.506,120.573
2019-01-01 11:00,2019-01-01 12:00,6.496,125.426
2019-01-01 12:00,2019-01-01 13:00,5.933,104.923
2019-01-01 13:00,2019-01-01 14:00,5.433,63.638
2019-01-01 14:00,2019-01-01 15:00,5.060,15.893
2019-01-01 15:00,2019-01-01 16:00,4.616,0
2019-01-01 16:00,2019-01-01 17:00,4.205,0
2019-01-01 17:00,2019-01-01 18:00,4.205,0
2019-01-01 18:00,2019-01-01 19:00,4.660,0
2019-01-01 19:00,2019-01-01 20:00,4.936,0
2019-01-01 20:00,2019-01-01 21:00,4.981,0
2019-01-01 21:00,2019-01-01 22:00,4.761,0
2019-01-01 22:00,2019-01-01 23:00,4.271,0
2019-01-01 23:00,2019-01-02 00:00,3.832,0
2019-01-02 00:00,2019-01-02 01:00,3.438,0
2019-01-02 01:00,2019-01-02 02:00,3.054,0
2019-01-02 02:00,2019-01-02 03:00,2.658,0
2019-01-02 03:00,2019-01-02 04:00,2.391,0
2019-01-02 04:00,2019-01-02 05:00,2.266,0
2019-01-02 05:00,2019-01-02 06:00,2.017,0
