# Renewables.ninja Wind (Point API) - 54.799, 9.433 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.79861385262823", "lon": "9.432691929548227", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "2500", "height": "80", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,2167.931,11.703
2019-01-01 01:00,2019-01-01 02:00,2258.201,12.379
2019-01-01 02:00,2019-01-01 03:00,2312.464,12.891
2019-01-01 03:00,2019-01-01 04:00,2322.538,12.999
2019-01-01 04:00,2019-01-01 05:00,2320.010,12.973
2019-01-01 05:00,2019-01-01 06:00,2357.235,13.414
2019-01-01 06:00,2019-01-01 07:00,2368.195,13.562
2019-01-01 07:00,2019-01-01 08:00,2379.784,13.730
2019-01-01 08:00,2019-01-01 09:00,2388.888,13.871
2019-01-01 09:00,2019-01-01 10:00,2395.049,13.972
2019-01-01 10:00,2019-01-01 11:00,2413.920,14.307
2019-01-01 11:00,2019-01-01 12:00,2441.218,14.941
2019-01-01 12:00,2019-01-01 13:00,2450.421,15.228
2019-01-01 13:00,2019-01-01 14:00,2451.121,15.243
2019-01-01 14:00,2019-01-01 15:00,2454.695,15.374
2019-01-01 15:00,2019-01-01 16:00,2454.038,15.351
2019-01-01 16:00,2019-01-01 17:00,2446.248,15.097
2019-01-01 17:00,2019-01-01 18:00,2443.802,15.025
2019-01-01 18:00,2019-01-01 19:00,2432.359,14.715
2019-01-01 19:00,2019-01-01 20:00,2401.527,14.076
2019-01-01 20:00,2019-01-01 21:00,2351.575,13.331
2019-01-01 21:00,2019-01-01 22:00,2324.192,13.008
2019-01-01 22:00,2019-01-01 23:00,2309.591,12.862
2019-01-01 23:00,2019-01-02 00:00,2298.623,12.742
2019-01-02 00:00,2019-01-02 01:00,2274.412,12.523
2019-01-02 01:00,2019-01-02 02:00,2247.645,12.292
2019-01-02 02:00,2019-01-02 03:00,2210.813,12.002
2019-01-02 03:00,2019-01-02 04:00,2189.792,11.852
2019-01-02 04:00,2019-01-02 05:00,2180.986,11.791
2019-01-02 05:00,2019-01-02 06:00,2122.558,11.418
2019-01-02 06:00,2019-01-02 07:00,2047.099,10.994
2019-01-02 07:00,2019-01-02 08:00,2029.832,10.913
2019-01-02 08:00,2019-01-02 09:00,1893.779,10.298
2019-01-02 09:00,2019-01-02 10:00,1628.461,9.330
2019-01-02 10:00,2019-01-02 11:00,1354.088,8.480
2019-01-02 11:00,2019-01-02 12:00,1388.565,8.572
2019-01-02 12:00,2019-01-02 13:00,1345.073,8.453
2019-01-02 13:00,2019-01-02 14:00,1252.140,8.181
2019-01-02 14:00,2019-01-02 15:00,1201.679,8.027
2019-01-02 15:00,2019-01-02 16:00,1098.317,7.732
2019-01-02 16:00,2019-01-02 17:00,994.181,7.420
2019-01-02 17:00,2019-01-02 18:00,845.045,6.980
2019-01-02 18:00,2019-01-02 19:00,734.427,6.620
2019-01-02 19:00,2019-01-02 20:00,653.466,6.354
2019-01-02 20:00,2019-01-02 21:00,586.869,6.126
2019-01-02 21:00,2019-01-02 22:00,540.702,5.949
2019-01-02 22:00,2019-01-02 23:00,506.009,5.825
2019-01-02 23:00,2019-01-03 00:00,498.982,5.788
2019-01-03 00:00,2019-01-03 01:00,507.420,5.830
2019-01-03 01:00,2019-01-03 02:00,530.312,5.918
2019-01-03 02:00,2019-01-03 03:00,546.095,5.968
2019-01-03 03:00,2019-01-03 04:00,545.917,5.967
2019-01-03 04:00,2019-01-03 05:00,545.810,5.966
2019-01-03 05:00,2019-01-03 06:00,533.413,5.929
2019-01-03 06:00,2019-01-03 07:00,507.120,5.829
2019-01-03 07:00,2019-01-03 08:00,466.013,5.667
2019-01-03 08:00,2019-01-03 09:00,418.544,5.463
2019-01-03 09:00,2019-01-03 10:00,330.564,5.061
2019-01-03 10:00,2019-01-03 11:00,257.954,4.696
2019-01-03 11:00,2019-01-03 12:00,227.751,4.522
2019-01-03 12:00,2019-01-03 13:00,231.907,4.540
2019-01-03 13:00,2019-01-03 14:00,300.155,4.920
2019-01-03 14:00,2019-01-03 15:00,385.190,5.315
2019-01-03 15:00,2019-01-03 16:00,413.771,5.445
2019-01-03 16:00,2019-01-03 17:00,408.626,5.427
2019-01-03 17:00,2019-01-03 18:00,406.423,5.417
2019-01-03 18:00,2019-01-03 19:00,485.790,5.746
2019-01-03 19:00,2019-01-03 20:00,601.896,6.178
2019-01-03 20:00,2019-01-03 21:00,697.230,6.507
2019-01-03 21:00,2019-01-03 22:00,774.240,6.748
2019-01-03 22:00,2019-01-03 23:00,829.678,6.931
2019-01-03 23:00,2019-01-04 00:00,933.999,7.249
2019-01-04 00:00,2019-01-04 01:00,1055.723,7.602
2019-01-04 01:00,2019-01-04 02:00,1137.119,7.843
2019-01-04 02:00,2019-01-04 03:00,1230.760,8.114
2019-01-04 03:00,2019-01-04 04:00,1330.392,8.410
2019-01-04 04:00,2019-01-04 05:00,1389.616,8.576
2019-01-04 05:00,2019-01-04 06:00,1491.590,8.892
2019-01-04 06:00,2019-01-04 07:00,1517.574,8.975
2019-01-04 07:00,2019-01-04 08:00,1525.568,8.994
2019-01-04 08:00,2019-01-04 09:00,1551.362,9.081
2019-01-04 09:00,2019-01-04 10:00,1544.667,9.055
2019-01-04 10:00,2019-01-04 11:00,1611.975,9.276
2019-01-04 11:00,2019-01-04 12:00,1652.025,9.399
2019-01-04 12:00,2019-01-04 13:00,1670.382,9.469
2019-01-04 13:00,2019-01-04 14:00,1707.824,9.598
2019-01-04 14:00,2019-01-04 15:00,1741.165,9.708
2019-01-04 15:00,2019-01-04 16:00,1758.705,9.778
2019-01-04 16:00,2019-01-04 17:00,1745.083,9.730
2019-01-04 17:00,2019-01-04 18:00,1766.322,9.806
2019-01-04 18:00,2019-01-04 19:00,1785.970,9.878
2019-01-04 19:00,2019-01-04 20:00,1778.759,9.852
2019-01-04 20:00,2019-01-04 21:00,1814.539,9.985
2019-01-04 21:00,2019-01-04 22:00,1874.742,10.210
2019-01-04 22:00,2019-01-04 23:00,1895.950,10.307
2019-01-04 23:00,2019-01-05 00:00,1893.898,10.299
2019-01-05 00:00,2019-01-05 01:00,1895.089,10.304
2019-01-05 01:00,2019-01-05 02:00,1891.228,10.288
2019-01-05 02:00,2019-01-05 03:00,1914.184,10.384
2019-01-05 03:00,2019-01-05 04:00,1883.290,10.255
2019-01-05 04:00,2019-01-05 05:00,1810.569,9.968
2019-01-05 05:00,2019-01-05 06:00,1679.330,9.491
2019-01-05 06:00,2019-01-05 07:00,1525.545,8.998
2019-01-05 07:00,2019-01-05 08:00,1319.397,8.378
2019-01-05 08:00,2019-01-05 09:00,1055.795,7.610
2019-01-05 09:00,2019-01-05 10:00,797.317,6.826
2019-01-05 10:00,2019-01-05 11:00,630.059,6.279
2019-01-05 11:00,2019-01-05 12:00,535.077,5.936
2019-01-05 12:00,2019-01-05 13:00,448.551,5.595
2019-01-05 13:00,2019-01-05 14:00,420.714,5.479
2019-01-05 14:00,2019-01-05 15:00,515.977,5.863
2019-01-05 15:00,2019-01-05 16:00,603.693,6.183
2019-01-05 16:00,2019-01-05 17:00,584.549,6.118
2019-01-05 17:00,2019-01-05 18:00,483.461,5.736
2019-01-05 18:00,2019-01-05 19:00,347.186,5.150
2019-01-05 19:00,2019-01-05 20:00,217.106,4.462
2019-01-05 20:00,2019-01-05 21:00,114.284,3.743
2019-01-05 21:00,2019-01-05 22:00,55.104,3.157
2019-01-05 22:00,2019-01-05 23:00,32.401,2.834
2019-01-05 23:00,2019-01-06 00:00,24.461,2.688
2019-01-06 00:00,2019-01-06 01:00,22.486,2.647
2019-01-06 01:00,2019-01-06 02:00,22.011,2.637
2019-01-06 02:00,2019-01-06 03:00,22.165,2.640
2019-01-06 03:00,2019-01-06 04:00,21.876,2.634
2019-01-06 04:00,2019-01-06 05:00,26.953,2.728
2019-01-06 05:00,2019-01-06 06:00,32.120,2.829
2019-01-06 06:00,2019-01-06 07:00,42.063,2.976
2019-01-06 07:00,2019-01-06 08:00,64.028,3.262
2019-01-06 08:00,2019-01-06 09:00,106.061,3.674
2019-01-06 09:00,2019-01-06 10:00,149.008,4.013
2019-01-06 10:00,2019-01-06 11:00,180.113,4.228
2019-01-06 11:00,2019-01-06 12:00,257.111,4.692
2019-01-06 12:00,2019-01-06 13:00,384.464,5.311
2019-01-06 13:00,2019-01-06 14:00,500.944,5.796
2019-01-06 14:00,2019-01-06 15:00,679.962,6.440
2019-01-06 15:00,2019-01-06 16:00,851.639,6.999
2019-01-06 16:00,2019-01-06 17:00,947.368,7.289
2019-01-06 17:00,2019-01-06 18:00,881.043,7.090
2019-01-06 18:00,2019-01-06 19:00,819.880,6.902
2019-01-06 19:00,2019-01-06 20:00,819.276,6.892
2019-01-06 20:00,2019-01-06 21:00,917.252,7.191
2019-01-06 21:00,2019-01-06 22:00,952.048,7.304
2019-01-06 22:00,2019-01-06 23:00,947.305,7.284
2019-01-06 23:00,2019-01-07 00:00,887.531,7.104
