time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,7.298
2019-01-01 01:00,2019-01-01 02:00,7.414
2019-01-01 02:00,2019-01-01 03:00,7.526
2019-01-01 03:00,2019-01-01 04:00,7.654
2019-01-01 04:00,2019-01-01 05:00,7.665
2019-01-01 05:00,2019-01-01 06:00,7.081
2019-01-01 06:00,2019-01-01 07:00,6.320
2019-01-01 07:00,2019-01-01 08:00,6.093
2019-01-01 08:00,2019-01-01 09:00,6.062
2019-01-01 09:00,2019-01-01 10:00,6.226
2019-01-01 10:00,2019-01-01 11:00,6.506
2019-01-01 11:00,2019-01-01 12:00,6.496
2019-01-01 12:00,2019-01-01 13:00,5.933
2019-01-01 13:00,2019-01-01 14:00,5.433
2019-01-01 14:00,2019-01-01 15:00,5.060
2019-01-01 15:00,2019-01-01 16:00,4.616
2019-01-01 16:00,2019-01-01 17:00,4.205
2019-01-01 17:00,2019-01-01 18:00,4.205
2019-01-01 18:00,2019-01-01 19:00,4.660
2019-01-01 19:00,2019-01-01 20:00,4.936
2019-01-01 20:00,2019-01-01 21:00,4.981
2019-01-01 21:00,2019-01-01 22:00,4.761
2019-01-01 22:00,2019-01-01 23:00,4.271
2019-01-01 23:00,2019-01-02 00:00,3.832
2019-01-02 00:00,2019-01-02 01:00,3.438
2019-01-02 01:00,2019-01-02 02:00,3.054
2019-01-02 02:00,2019-01-02 03:00,2.658
2019-01-02 03:00,2019-01-02 04:00,2.391
2019-01-02 04:00,2019-01-02 05:00,2.266
2019-01-02 05:00,2019-01-02 06:00,2.017
2019-01-02 06:00,2019-01-02 07:00,1.783
2019-01-02 07:00,2019-01-02 08:00,1.645
2019-01-02 08:00,2019-01-02 09:00,1.779
2019-01-02 09:00,2019-01-02 10:00,2.340
2019-01-02 10:00,2019-01-02 11:00,2.997
2019-01-02 11:00,2019-01-02 12:00,3.570
2019-01-02 12:00,2019-01-02 13:00,3.722
2019-01-02 13:00,2019-01-02 14:00,3.293
2019-01-02 14:00,2019-01-02 15:00,1.954
2019-01-02 15:00,2019-01-02 16:00,0.428
2019-01-02 16:00,2019-01-02 17:00,-0.289
2019-01-02 17:00,2019-01-02 18:00,-0.936
2019-01-02 18:00,2019-01-02 19:00,-1.428
2019-01-02 19:00,2019-01-02 20:00,-1.755
2019-01-02 20:00,2019-01-02 21:00,-1.966
2019-01-02 21:00,2019-01-02 22:00,-2.044
2019-01-02 22:00,2019-01-02 23:00,-2.081
2019-01-02 23:00,2019-01-03 00:00,-2.095
2019-01-03 00:00,2019-01-03 01:00,-2.085
2019-01-03 01:00,2019-01-03 02:00,-2.072
2019-01-03 02:00,2019-01-03 03:00,-2.074
2019-01-03 03:00,2019-01-03 04:00,-2.078
2019-01-03 04:00,2019-01-03 05:00,-2.097
2019-01-03 05:00,2019-01-03 06:00,-2.090
2019-01-03 06:00,2019-01-03 07:00,-2.042
2019-01-03 07:00,2019-01-03 08:00,-2.063
2019-01-03 08:00,2019-01-03 09:00,-1.369
2019-01-03 09:00,2019-01-03 10:00,-0.202
2019-01-03 10:00,2019-01-03 11:00,0.551
2019-01-03 11:00,2019-01-03 12:00,1.226
2019-01-03 12:00,2019-01-03 13:00,1.600
2019-01-03 13:00,2019-01-03 14:00,1.000
2019-01-03 14:00,2019-01-03 15:00,-0.334
2019-01-03 15:00,2019-01-03 16:00,-0.989
2019-01-03 16:00,2019-01-03 17:00,-1.058
2019-01-03 17:00,2019-01-03 18:00,-1.111
2019-01-03 18:00,2019-01-03 19:00,-1.067
2019-01-03 19:00,2019-01-03 20:00,-0.532
2019-01-03 20:00,2019-01-03 21:00,0.272
2019-01-03 21:00,2019-01-03 22:00,1.444
2019-01-03 22:00,2019-01-03 23:00,2.039
2019-01-03 23:00,2019-01-04 00:00,2.329
2019-01-04 00:00,2019-01-04 01:00,2.633
2019-01-04 01:00,2019-01-04 02:00,2.915
2019-01-04 02:00,2019-01-04 03:00,3.201
2019-01-04 03:00,2019-01-04 04:00,3.439
2019-01-04 04:00,2019-01-04 05:00,3.594
